順位,作品タイトル(続編物はある時点での名前になっています）,Twitterアカウント,フォロワー数
1,鬼滅の刃,kimetsu_off,2814769
2,うまよん,uma_musu,1480512
3,進撃の巨人 Season 2,anime_shingeki,1414307
4,呪術廻戦,animejujutsu,1373056
5,ハイキュー!!,animehaikyu_com,1344637
6,僕のヒーローアカデミア,heroaca_anime,1092676
7,ラブライブ! 第2期,LoveLive_staff,1085321
8,SPY×FAMILY,spyfamily_anime,1041297
9,ソードアード・オンラインⅡ,sao_anime,994529
10,ぐらぶるっ！,granbluefantasy,972048
11,ジョジョの奇妙な冒険,anime_jojo,783024
12,BanG Dream!(バンドリ),bang_dream_info,694430
13,アイドリッシュセブン,iD7Mng_Ogami,665122
14,五等分の花嫁,5Hanayome_anime,650574
15,銀魂゜,gintamamovie,617261
16,うたの☆プリンスさまっ♪ マジLOVEレボリューションズ,utapri_official,613713
17,おそ松さん,osomatsu_PR,590853
18,Re：ゼロから始める異世界生活,Rezero_official,584519
19,文豪ストレイドッグス,bungosd_anime,552629
20,Free! Eternal Summer,iwatobi_sc,543373
21,ユーリ!!! on ICE,yurionice_PR,501956
22,Fate/stay night,Fate_SN_Anime,487925
23,東京リベンジャーズ,anime_toman,477381
24,浦島坂田船の日常,USSS_info,457703
25,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,anime_kaguya,446564
26,ゆるキャン△,yurucamp_anime,431520
27,終物語,nisioisin_anime,426937
28,ご注文はうさぎですか?,usagi_anime,419156
29,PUI PUI モルカー,molcar_anime,398554
30,ヴァイオレット・エヴァーガーデン,Violet_Letter,389712
31,刀剣乱舞-花丸-,touken_hanamaru,387458
32,やはり俺の青春ラブコメはまちがっている。続,anime_oregairu,368655
33,この素晴らしい世界に祝福を！,konosubaanime,357449
34,夏目友人帳 伍,NatsumeYujincho,354115
35,ドラゴンボール超,DB_super2015,351890
36,ウマ娘 プリティーダービー,uma_musu_anime,342421
37,黒子のバスケ 第3期,kurobasanime,315613
38,じゃんたま PONG☆,MahjongSoul_JP,314673
39,アイドルマスターシンデレラガールズ,imas_anime,312200
40,響け！ユーフォニアム,anime_eupho,307664
41,弱虫ペダル GRANDE ROAD,yowapeda_anime,298979
42,約束のネバーランド,yakuneba_staff,294949
43,BORUTO-ボルト- NARUTO NEXT GENERATIONS,NARUTOtoBORUTO,291442
44,転生したらスライムだった件,ten_sura_anime,291379
45,彼女、お借りします,kanokari_anime,275066
46,ようこそ実力至上主義の教室へ,youkosozitsu,271387
47,七つの大罪,7_taizai,270462
48,その着せ替え人形は恋をする,kisekoi_anime,266482
49,ワールドトリガー,Anime_W_Trigger,258225
50,冴えない彼女の育てかた,saenai_heroine,252350
51,マギアレコード 魔法少女まどか☆マギカ外伝,magireco,248798
52,魔法科高校の劣等生,mahouka_anime,246115
53,スター・ウォーズ：ビジョンズ,starwarsjapan,245538
54,からかい上手の高木さん,takagi3_anime,244511
55,とある魔術の禁書目録Ⅲ,toaru_project,242293
56,モブサイコ100,mobpsycho_anime,236278
57,青春ブタ野郎はバニーガール先輩の夢を見ない,aobuta_anime,235081
58,名探偵コナン ゼロの日常,zerotea_file,232992
59,エロマンガ先生,oreimo_eromanga,232863
60,Fate/Grand Order -絶対魔獣戦線バビロニア-,FGOAP_ep7,230143
61,PSYCHO-PASS サイコパス 2,psychopass_tv,225944
62,探偵はもう、死んでいる。,tanteiwamou_,223718
63,アイドリッシュセブン Second BEAT!,ID7_anime,223358
64,小林さんちのメイドラゴン,maidragon_anime,219749
65,ギヴン,given_anime,219084
66,あんさんぶるスターズ！,stars_animation,213714
67,FAIRY TAIL ZERO,fairytail_PR,208566
68,SK∞ エスケーエイト,sk8_project,206895
69,『ヒプノシスマイク -Division Rap Battle-』Rhyme Anima,hypnosismic_RA,206170
70,炎炎ノ消防隊,FireForce_PR,203497
71,カードキャプターさくら クリアカード編,ccsakura_info,203130
72,可愛いだけじゃない式守さん,anime_shikimori,202405
73,BANANA FISH,bananafish_tv,198122
74,東京喰種,tkg_anime,195928
75,地縛少年花子くん,hanakokun_info,195130
76,B-PROJECT～鼓動＊アンビシャス～,Bpro_info,189765
77,黒執事Book of Circus,kuroshitsuji2,189344
78,ダンジョンに出会いを求めるのは間違っているだろうか,danmachi_anime,189073
79,神様になった日,kamisama_Ch_AB,186790
80,デュラララ!!×２,drrr_anime,185505
81,ゴールデンカムイ,kamuy_anime,184929
82,無職転生 ～異世界行ったら本気だす～,mushokutensei_A,184664
83,ワンパンマン,opm_anime,183447
84,艦隊これくしょん -艦これ-,anime_KanColle,182093
85,ヒロインたるもの！～嫌われヒロインと内緒のお仕事～,HoneyWorksMovie,180696
86,Dr.STONE,STONE_anime_off,176662
87,活撃 刀剣乱舞,katsugekitouken,175728
88,暗殺教室,ansatsu_anime,174821
89,ポプテピピック,hoshiiro_anime,174800
90,新テニスの王子様 U-17 WORLD CUP,shintenianime,174299
91,半妖の夜叉姫,hanyo_yashahime,171666
92,ゾンビランドサガ,zombielandsaga,170568
93,マクロス⊿,macrossD,169338
94,オーバーロード,over_lord_anime,168570
95,機動戦士ガンダム 鉄血のオルフェンズ,g_tekketsu,167987
96,フルーツバスケット,fruba_PR,167359
97,モンストアニメ セカンドシーズン(アニメ モンスターストライク),monst_riex,163726
98,プリンセスコネクト！Re:Dive,priconne_anime,161412
99,IDOLY PRIDE,idolypride,161244
100,デート・ア・ライブII,date_a_info,160123
101,TIGER & BUNNY 2,TIGERandBUNNY,159856
102,少女☆歌劇 レヴュースタァライト,revuestarlight,157773
103,メイドインアビス,miabyss_anime,157245
104,ダンガンロンパ3 The End of 希望ヶ峰学園,dangan_official,156840
105,八月のシンデレラナイン,hachinai89,156656
106,グランブルーファンタジー ジ・アニメーション,anime_gbf,154684
107,ホリミヤ,horimiya_anime,153876
108,アイカツスターズ！(星のツバサ),aikatsu_anime,153430
109,ワッチャプリマジ！,PrettySeriesPR,149493
